emoji,description_en,description_es,description_pt
🥖,baguette bread,pan de la baguette,pão de baguete
⚖️,balance scale,escala de equilibrio,escala de equilíbrio
⚖,balance scale,escala de equilibrio,escala de equilíbrio
🦲,bald,calvo,calvo
🩰,ballet shoes,zapatos de ballet,sapatos de balé
🎈,balloon,globo,balão
🗳️,ballot box with ballot,urnas con boleta,vilotada com votação
🗳,ballot box with ballot,urnas con boleta,vilotada com votação
🍌,banana,banana,banana
🪕,banjo,banjo,banjo
🏦,bank,banco,banco
📊,bar chart,gráfico de barras,gráfico de barras
💈,barber pole,barbero,Polo de barbeiro
⚾,baseball,béisbol,beisebol
🧺,basket,cesta,cesta
🏀,basketball,baloncesto,basquetebol
🦇,bat,murciélago,bastão
🛁,bathtub,bañera,banheira
🔋,battery,batería,bateria
🏖️,beach with umbrella,playa con paraguas,praia com guarda -chuva
🏖,beach with umbrella,playa con paraguas,praia com guarda -chuva
😁,beaming face with smiling eyes,cara radiante con ojos sonrientes,rosto radiante com olhos sorridentes
🫘,beans,frijoles,feijões
🐻,bear,oso,urso
💓,beating heart,latido del corazón,coração batendo
🦫,beaver,castor,castor
🛏️,bed,cama,cama
🛏,bed,cama,cama
🍺,beer mug,taza de cerveza,caneca de cerveja
🪲,beetle,escarabajo,besouro
🔔,bell,campana,sino
🫑,bell pepper,pimiento,pimentão
🔕,bell with slash,campana con corte,sino com barra
🛎️,bellhop bell,campana,Bellhop Bell
🛎,bellhop bell,campana,Bellhop Bell
🍱,bento box,caja de bento,Bento Box
🧃,beverage box,caja de bebidas,Caixa de bebidas
🚲,bicycle,bicicleta,bicicleta
👙,bikini,bikini,bikini
🧢,billed cap,gorra facturada,Cap faturado
☣️,biohazard,biohazard,BioHazard
☣,biohazard,biohazard,BioHazard
🐦,bird,pájaro,pássaro
🎂,birthday cake,torta de cumpleaños,bolo de aniversário
🦬,bison,bisonte,bisonte
🫦,biting lip,mordido,lábio corpulento
🐦‍⬛,black bird,pájaro negro,Black Bird
🐈‍⬛,black cat,gato negro,Gato preto
⚫,black circle,círculo negro,círculo preto
🏴,black flag,bandera negra,Bandeira preta
🖤,black heart,corazón negro,coração negro
⬛,black large square,cuadrado grande negro,Quadrado grande preto
◾,black medium-small square,cuadrado negro-pequeño negro,Quadrado médio-pequeno preto
◼️,black medium square,cuadrado medio negro,Quadrado médio preto
◼,black medium square,cuadrado medio negro,Quadrado médio preto
✒️,black nib,punta negra,Nib preta
✒,black nib,punta negra,Nib preta
▪️,black small square,cuadrado pequeño negro,Quadrado pequeno preto
▪,black small square,cuadrado pequeño negro,Quadrado pequeno preto
🔲,black square button,botón cuadrado negro,Botão quadrado preto
🌼,blossom,florecer,florescer
🐡,blowfish,pescado,Blowfish
📘,blue book,libro azul,Livro azul
🔵,blue circle,círculo azul,Círculo azul
💙,blue heart,corazón azul,coração azul
🟦,blue square,cuadrado azul,quadrado azul
🫐,blueberries,arándanos,mirtilos
🐗,boar,verraco,javali
💣,bomb,bomba,bomba
🦴,bone,hueso,osso
🔖,bookmark,marcador,Marco
📑,bookmark tabs,pestañas de marcadores,guias de favoritos
📚,books,libros,livros
🪃,boomerang,bumerang,bumerangue
🍾,bottle with popping cork,botella con corcho de estallido,garrafa com rolhas de estouro
💐,bouquet,ramo,ramalhete
🏹,bow and arrow,arco y flecha,arco e flecha
🥣,bowl with spoon,tazón con cuchara,tigela com colher
🎳,bowling,bolos,boliche
🥊,boxing glove,guante de boxeo,luva de boxe
👦,boy,chico,garoto
👦🏿,boy dark skin tone,Tono de piel oscura,Tom do menino de pele escura
👦🏻,boy light skin tone,tono de piel clara,Tom de pele leve de menino
👦🏾,boy medium-dark skin tone,tono de piel de color medio oscuro,Tom de pele de menino médio escuro
👦🏼,boy medium-light skin tone,Tono de piel de luz media,Tom de pele de menino com luz média
👦🏽,boy medium skin tone,tono de piel mediana,Tom de pele média de menino
🧠,brain,cerebro,cérebro
🍞,bread,pan,pão
🤱,breast-feeding,amamantamiento,amamentação
🤱🏿,breast-feeding dark skin tone,tono de piel oscura de lactancia materna,tom de pele escura de amamentação
🤱🏻,breast-feeding light skin tone,tono de piel clara de lactancia,tom de pele leve para amamentação
🤱🏾,breast-feeding medium-dark skin tone,tono de piel medio-oscuridad de amamantamiento,Tom de pele de amamentação média-escura
🤱🏼,breast-feeding medium-light skin tone,tono de piel de luz media de lactancia,tom de pele de luz de amamentação de amamentação
🤱🏽,breast-feeding medium skin tone,tono de piel mediana de lactancia,tom de pele média de amamentação
🧱,brick,ladrillo,tijolo
🌉,bridge at night,puente por la noche,ponte à noite
💼,briefcase,maletín,pasta
🩲,briefs,bragas,cuecas
🔆,bright button,botón brillante,Botão brilhante
🥦,broccoli,brócoli,brócolis
⛓️‍💥,broken chain,cadena rota,corrente quebrada
⛓‍💥,broken chain,cadena rota,corrente quebrada
💔,broken heart,corazón roto,coração partido
🧹,broom,escoba,vassoura
🟤,brown circle,círculo marrón,círculo marrom
🤎,brown heart,corazón marrón,coração marrom
🍄‍🟫,brown mushroom,hongo marrón,cogumelo marrom
🟫,brown square,cuadrado marrón,quadrado marrom
🧋,bubble tea,té de burbujas,chá de bolha
🫧,bubbles,burbujas,bolhas
🪣,bucket,balde,balde
🐛,bug,bicho,erro
🏗️,building construction,construcción de edificios,Construção de edifícios
🏗,building construction,construcción de edificios,Construção de edifícios
🚅,bullet train,tren de bala,trem de bala
🎯,bullseye,diana,Bullseye
🌯,burrito,burrito,burrito
🚌,bus,autobús,ônibus
🚏,bus stop,parada de autobús,ponto de ônibus
👤,bust in silhouette,Busto en silueta,Busto em silhueta
👥,busts in silhouette,bustos en silueta,Bustos em silhueta
🧈,butter,manteca,manteiga
🦋,butterfly,mariposa,borboleta
🌵,cactus,cactus,cacto
📅,calendar,calendario,calendário
🤙,call me hand,Llámame mano,me chame de mão
🤙🏿,call me hand dark skin tone,Llámame tono de piel oscura de la mano,me chame de tom de pele escura de mão
🤙🏻,call me hand light skin tone,Llámame tono de piel de luz manual,me chame de tom de pele leve à mão
🤙🏾,call me hand medium-dark skin tone,Llámame tono de piel medio-oscuridad de la mano,me chame de tom de pele média-escura de mão
🤙🏼,call me hand medium-light skin tone,Llámame tono de piel de luz media,me chame de tom de pele de luz média da mão
🤙🏽,call me hand medium skin tone,Llámame tono de piel media,me chame de tom de pele média de mão
🐪,camel,camello,camelo
📷,camera,cámara,câmera
📸,camera with flash,cámara con flash,câmera com flash
🏕️,camping,cámping,camping
🏕,camping,cámping,camping
🕯️,candle,vela,vela
🕯,candle,vela,vela
🍬,candy,dulce,doce
🥫,canned food,alimentos enlatados,comida enlatada
🛶,canoe,canoa,canoa
🗃️,card file box,casilla de archivo de la tarjeta,Caixa de arquivo de cartão
🗃,card file box,casilla de archivo de la tarjeta,Caixa de arquivo de cartão
📇,card index,índice de tarjetas,Índice de cartões
🗂️,card index dividers,divisores de índice de tarjetas,Divisores de índice de cartões
🗂,card index dividers,divisores de índice de tarjetas,Divisores de índice de cartões
🎠,carousel horse,caballo de carrusel,Cavalo de carrossel
🎏,carp streamer,streamer de carpas,streamer de carpa
🪚,carpentry saw,sierra de carpintería,Carpentry viu
🥕,carrot,zanahoria,cenoura
🏰,castle,castillo,castelo
🐈,cat,gato,gato
🐱,cat face,cara de gato,rosto de gato
😹,cat with tears of joy,gato con lágrimas de alegría,gato com lágrimas de alegria
😼,cat with wry smile,gato con sonrisa irónica,gato com sorriso irônico
⛓️,chains,cadenas,correntes
⛓,chains,cadenas,correntes
🪑,chair,silla,cadeira
📉,chart decreasing,disminución del gráfico,Gráfico diminuindo
📈,chart increasing,Aumento de la tabla,Gráfico aumentando
💹,chart increasing with yen,Gráfico que aumenta con yen,Gráfico aumentando com o iene
☑️,check box with check,casilla de verificación con cheque,caixa de seleção com cheque
☑,check box with check,casilla de verificación con cheque,caixa de seleção com cheque
✔️,check mark,Verifique la marca,marca de seleção
✔,check mark,Verifique la marca,marca de seleção
✅,check mark button,Verifique el botón Mark,Verifique o botão da marca
🧀,cheese wedge,cuña de queso,Cunha de queijo
🏁,chequered flag,bandera a cuadros,Bandeira quadriculada
🍒,cherries,guindas,cerejas
🌸,cherry blossom,flor de cerezo,Blossom de cerejeira
♟️,chess pawn,peón de ajedrez,peão de xadrez
♟,chess pawn,peón de ajedrez,peão de xadrez
🌰,chestnut,castaña,castanha
🐔,chicken,pollo,frango
🧒,child,niño,criança
🧒🏿,child dark skin tone,Tono de piel oscura del niño,Tom da pele escura infantil
🧒🏻,child light skin tone,Tono de piel de luz infantil,Tom de pele leve infantil
🧒🏾,child medium-dark skin tone,tono de piel de color medio de niños con niños,Tom de pele média-escuro infantil
🧒🏼,child medium-light skin tone,tono de piel de luz media infantil,Tom de pele de luz média infantil
🧒🏽,child medium skin tone,tono de piel mediana infantil,Tom de pele média infantil
🚸,children crossing,Crossing de niños,crianças atravessando
🐿️,chipmunk,ardiente,Chipmunk
🐿,chipmunk,ardiente,Chipmunk
🍫,chocolate bar,barra de chocolate,barra de chocolate
🥢,chopsticks,palillos,pauzinhos
⛪,church,iglesia,igreja
🚬,cigarette,cigarrillo,cigarro
🎦,cinema,cine,cinema
Ⓜ️,circled M,Circlado M,circular m
Ⓜ,circled M,Circlado M,circular m
🎪,circus tent,tienda de circo,tenda de circo
🏙️,cityscape,paisaje urbano,paisagem urbana
🏙,cityscape,paisaje urbano,paisagem urbana
🌆,cityscape at dusk,paisaje urbano al anochecer,paisagem urbana ao anoitecer
🗜️,clamp,abrazadera,grampo
🗜,clamp,abrazadera,grampo
🎬,clapper board,plebeador,placa de craper
👏,clapping hands,manos aplaudidas,Mãos batendo palmas
👏🏿,clapping hands dark skin tone,tono de piel oscura aplaudiendo las manos,Tom de pele escura de mãos batendo
👏🏻,clapping hands light skin tone,tono de piel claro de las manos aplausos,Tom de pele leve e bate -papo
👏🏾,clapping hands medium-dark skin tone,tono de piel de color medio-oscuridad aplausente,Tom de pele de mãos de mãos batendo palmas
👏🏼,clapping hands medium-light skin tone,Tono de piel de luz media de las manos aplausos,Tom de pele com luz de luz batendo palmas
👏🏽,clapping hands medium skin tone,tono de piel mediana de las manos aplausos,Tom de pele média de mãos
🏛️,classical building,edificio clásico,construção clássica
🏛,classical building,edificio clásico,construção clássica
🍻,clinking beer mugs,tazas de cerveza,Cinguando canecas de cerveja
🥂,clinking glasses,gafas,Espingar copos
📋,clipboard,portapapeles,Praça de transferência
🔃,clockwise vertical arrows,flechas verticales en sentido horario,setas verticais no sentido horário
📕,closed book,libro cerrado,Livro fechado
📪,closed mailbox with lowered flag,buzón cerrado con bandera baja,Caixa de correio fechada com bandeira abaixada
📫,closed mailbox with raised flag,buzón cerrado con bandera elevada,Caixa de correio fechada com bandeira elevada
🌂,closed umbrella,paraguas cerrado,guarda -chuva fechada
☁️,cloud,nube,nuvem
☁,cloud,nube,nuvem
🌩️,cloud with lightning,nube con rayos,nuvem com raios
🌩,cloud with lightning,nube con rayos,nuvem com raios
⛈️,cloud with lightning and rain,nube con rayos y lluvia,nuvem com raios e chuva
⛈,cloud with lightning and rain,nube con rayos y lluvia,nuvem com raios e chuva
🌧️,cloud with rain,nube con lluvia,nuvem com chuva
🌧,cloud with rain,nube con lluvia,nuvem com chuva
🌨️,cloud with snow,nube con nieve,nuvem com neve
🌨,cloud with snow,nube con nieve,nuvem com neve
🤡,clown face,cara de payaso,rosto de palhaço
♣️,club suit,traje de club,traje de clube
♣,club suit,traje de club,traje de clube
👝,clutch bag,bolsa de embrague,Saco de embreagem
🧥,coat,abrigo,casaco
🪳,cockroach,cucaracha,barata
🍸,cocktail glass,cóctel,copo de coquetel
🥥,coconut,Coco,coco
⚰️,coffin,ataúd,caixão
⚰,coffin,ataúd,caixão
🪙,coin,acuñar,moeda
🥶,cold face,cara fría,rosto frio
💥,collision,colisión,colisão
☄️,comet,cometa,cometa
☄,comet,cometa,cometa
🧭,compass,brújula,bússola
💽,computer disk,disco informático,disco do computador
🖱️,computer mouse,mouse de computadora,mouse de computador
🖱,computer mouse,mouse de computadora,mouse de computador
🎊,confetti ball,pelota de confeti,Ball de confete
😖,confounded face,cara confusa,rosto confuso
😕,confused face,cara confundida,rosto confuso
🚧,construction,construcción,construção
👷,construction worker,trabajador de la construcción,trabalhador da construção
👷🏿,construction worker dark skin tone,Tono de piel oscura del trabajador de la construcción,Tom de pele escura do trabalhador da construção
👷🏻,construction worker light skin tone,Tono de piel clara del trabajador de la construcción,Tom de pele clara do trabalhador da construção civil
👷🏾,construction worker medium-dark skin tone,Trabajador de la construcción Tono de piel medio-oscuridad,trabalhador da construção civil-escuro tom de pele
👷🏼,construction worker medium-light skin tone,Trabajador de la construcción Tono de piel de luz media,Tom de pele de leve luz da construção civil
👷🏽,construction worker medium skin tone,Trabajador de construcción Tono de piel mediana,Tom de pele média do trabalhador da construção
🎛️,control knobs,perillas de control,botões de controle
🎛,control knobs,perillas de control,botões de controle
🏪,convenience store,tienda de conveniencia,loja de conveniência
🧑‍🍳,cook,cocinar,cozinhar
🧑🏿‍🍳,cook dark skin tone,Cocinar tono de piel oscura,Cozinhe o tom da pele escura
🧑🏻‍🍳,cook light skin tone,Cocine el tono de piel clara,Cozinhe o tom da pele leve
🧑🏾‍🍳,cook medium-dark skin tone,Cocinar tono de piel de color medio-oscuridad,Cozinhe o tom de pele média-escuro
🧑🏼‍🍳,cook medium-light skin tone,Cocine el tono de piel de luz media,cozinhe tom de pele de luz média
🧑🏽‍🍳,cook medium skin tone,Cocine el tono de piel mediana,cozinhe o tom de pele média
🍚,cooked rice,arroz cocido,arroz cozido
🍪,cookie,galleta,Cookie
🍳,cooking,cocinando,culinária
©️,copyright,derechos de autor,direitos autorais
©,copyright,derechos de autor,direitos autorais
🪸,coral,coral,coral
🛋️,couch and lamp,sofá y lámpara,sofá e lâmpada
🛋,couch and lamp,sofá y lámpara,sofá e lâmpada
🔄,counterclockwise arrows button,botón de flechas en sentido antihorario,Botão de setas no sentido anti -horário
💑,couple with heart,Pareja de corazón,casal com coração
💑🏿,couple with heart dark skin tone,pareja con corazón tono de piel oscura,casal com tom de pele escura do coração
💑🏻,couple with heart light skin tone,Pareja con tono de piel clara de corazón,casal com tom de pele leve
👨‍❤️‍👨,couple with heart man man,Pareja con corazón hombre hombre,Casal com o Homem do Coração
👨‍❤‍👨,couple with heart man man,Pareja con corazón hombre hombre,Casal com o Homem do Coração
👨🏿‍❤️‍👨🏿,couple with heart man man dark skin tone,pareja con corazón hombre hombre tono de piel oscura,Casal com o tom de pele do homem do coração
👨🏿‍❤‍👨🏿,couple with heart man man dark skin tone,pareja con corazón hombre hombre tono de piel oscura,Casal com o tom de pele do homem do coração
👨🏿‍❤️‍👨🏻,couple with heart man man dark skin tone light skin tone,pareja con corazón hombre hombre tono de piel oscura tono de piel claro,Casal com o homem do coração homem escuro tom de pele clara tom de pele
👨🏿‍❤‍👨🏻,couple with heart man man dark skin tone light skin tone,pareja con corazón hombre hombre tono de piel oscura tono de piel claro,Casal com o homem do coração homem escuro tom de pele clara tom de pele
👨🏿‍❤️‍👨🏾,couple with heart man man dark skin tone medium-dark skin tone,pareja con corazón hombre hombre tono de piel oscura tono de piel medio-oscuridad,"Casal com o homem do coração, homem de pele escura tom de pele média escura"
👨🏿‍❤‍👨🏾,couple with heart man man dark skin tone medium-dark skin tone,pareja con corazón hombre hombre tono de piel oscura tono de piel medio-oscuridad,"Casal com o homem do coração, homem de pele escura tom de pele média escura"
👨🏿‍❤️‍👨🏼,couple with heart man man dark skin tone medium-light skin tone,pareja con corazón hombre hombre tono de piel oscura tono de piel de luz media,Casal com o tom de coração do homem de coração escuro tom de pele média
👨🏿‍❤‍👨🏼,couple with heart man man dark skin tone medium-light skin tone,pareja con corazón hombre hombre tono de piel oscura tono de piel de luz media,Casal com o tom de coração do homem de coração escuro tom de pele média
👨🏿‍❤️‍👨🏽,couple with heart man man dark skin tone medium skin tone,pareja con corazón hombre hombre tono de piel oscura tono de piel mediana,Casal com tom de coração de homem de coração escuro tom de pele média
👨🏿‍❤‍👨🏽,couple with heart man man dark skin tone medium skin tone,pareja con corazón hombre hombre tono de piel oscura tono de piel mediana,Casal com tom de coração de homem de coração escuro tom de pele média
👨🏻‍❤️‍👨🏻,couple with heart man man light skin tone,pareja con corazón hombre hombre tono de piel claro,Casal com tom de pele leve de homem homem
👨🏻‍❤‍👨🏻,couple with heart man man light skin tone,pareja con corazón hombre hombre tono de piel claro,Casal com tom de pele leve de homem homem
👨🏻‍❤️‍👨🏿,couple with heart man man light skin tone dark skin tone,pareja con corazón hombre hombre tono de piel claro tono de piel oscura,Casal com tom de coração de homem de coração tom de pele clara tom de pele escura
👨🏻‍❤‍👨🏿,couple with heart man man light skin tone dark skin tone,pareja con corazón hombre hombre tono de piel claro tono de piel oscura,Casal com tom de coração de homem de coração tom de pele clara tom de pele escura
👨🏻‍❤️‍👨🏾,couple with heart man man light skin tone medium-dark skin tone,Pareja con corazón hombre tono de piel de piel clara de piel clara,casal com tom de coração de homem leve tom de pele leve
👨🏻‍❤‍👨🏾,couple with heart man man light skin tone medium-dark skin tone,Pareja con corazón hombre tono de piel de piel clara de piel clara,casal com tom de coração de homem leve tom de pele leve
